X,Y,TrafficID,IntersectionID,lat,lon,intersection,TOOLTIP,NLA_URL
-13174525.0512574,4030344.26914968,33,4544,34.01148,-118.34876,HILLCREST DR at SANTO TOMAS DR,Location: HILLCREST DR at SANTO TOMAS DR,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=33
-13175204.1003619,4032228.56603256,34,4633,34.02551,-118.35486,JEFFERSON BLVD at LA BREA AVE,Location: JEFFERSON BLVD at LA BREA AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=34
-13170086.7424527,4032233.93893264,35,4651,34.02555,-118.30889,JEFFERSON BLVD AT WESTERN AVE,Location: JEFFERSON BLVD AT WESTERN AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=35
-13172359.8868976,4032240.65459372,36,4689,34.0256,-118.32931,11TH AVE at JEFFERSON BLVD,Location: 11TH AVE at JEFFERSON BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=36
-13172383.2639217,4031884.72255871,37,4690,34.02295,-118.32952,11TH AVE at 36TH ST,Location: 11TH AVE at 36TH ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=37
-13171196.5980492,4032233.93885451,38,4696,34.02555,-118.31886,2ND AVE at JEFFERSON BLVD,Location: 2ND AVE at JEFFERSON BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=38
-13170636.6607994,4031739.66679695,39,4709,34.02187,-118.31383,36TH PL at GRAMERCY PL,Location: 36TH PL at GRAMERCY PL,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=39
-13170997.3359224,4030256.97872958,40,4759,34.01083,-118.31707,"MARTIN LUTHER KING, JR BLVD at VAN NESS AVE","Location: MARTIN LUTHER KING, JR BLVD at VAN NESS AVE",http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=40
-13168155.3488934,4030261.00773084,41,4761,34.01086,-118.29154,"MARTIN LUTHER KING, JR BLVD at VERMONT AVE","Location: MARTIN LUTHER KING, JR BLVD at VERMONT AVE",http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=41
-13168355.724049,4030261.0077828,42,4763,34.01086,-118.29334,"KANSAS AVE at MARTIN LUTHER KING, JR BLVD","Location: KANSAS AVE at MARTIN LUTHER KING, JR BLVD",http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=42
-13167983.0986555,4030270.44586784,43,4769,34.01093028,-118.28999265,"MENLO AVE AT MARTIN LUTHER KING, JR BLVD","Location: MENLO AVE AT MARTIN LUTHER KING, JR BLVD",http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=43
-13168398.025365,4029539.87840398,44,4837,34.00549,-118.29372,43RD ST at KANSAS AVE,Location: 43RD ST at KANSAS AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=44
-13170635.5474305,4028810.7379692,45,4894,34.00006,-118.31382,48TH ST at GRAMERCY PL,Location: 48TH ST at GRAMERCY PL,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=45
-13172364.3394981,4028804.02411358,46,4906,34.00001,-118.32935,11TH AVE at 48TH ST,Location: 11TH AVE at 48TH ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=46
-13173257.1221974,4032236.62511777,47,4922,34.02557,-118.33737,JEFFERSON BLVD AT SOMERSET DR,Location: JEFFERSON BLVD AT SOMERSET DR,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=47
-13169120.4891296,4032229.90961327,48,4924,34.02552,-118.30021,JEFFERSON BLVD AT NORMANDIE AVE,Location: JEFFERSON BLVD AT NORMANDIE AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=48
-13168155.3490364,4032227.22329836,49,4926,34.0255,-118.29154,JEFFERSON BLVD AT VERMONT AVE,Location: JEFFERSON BLVD AT VERMONT AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=49
-13171464.8779723,4031879.35010149,50,4941,34.02291,-118.32127,36TH ST at 4TH AVE,Location: 36TH ST at 4TH AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=50
-13168155.0050483,4031767.20860792,51,4948,34.02207506,-118.29153691,36TH PL AT VERMONT AVE,Location: 36TH PL AT VERMONT AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=51
-13169119.7923258,4031740.47811253,52,4951,34.02187604,-118.30020374,NORMANDIE AVE AT 36TH PL,Location: NORMANDIE AVE AT 36TH PL,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=52
-13168155.3489998,4031269.59095514,53,4999,34.01837,-118.29154,EXPOSITION BOULEVARD N/R at VERMONT AVE,Location: EXPOSITION BOULEVARD N/R at VERMONT AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=53
-13172875.5777472,4031250.59194496,54,5009,34.01822854,-118.33394253,COLISEUM ST AT BRONSON AVE,Location: COLISEUM ST AT BRONSON AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=54
-13168154.8435547,4031240.91972862,55,5019,34.01815652,-118.29153546,VERMONT AVE AT EXPOSITION BOULEVARD S/R,Location: VERMONT AVE AT EXPOSITION BOULEVARD S/R,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=55
-13171890.1184693,4030763.27343163,56,5057,34.0146,-118.32509,39TH ST at HEPBURN AVE,Location: 39TH ST at HEPBURN AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=56
-13168155.3488714,4030577.94309178,57,5076,34.01322,-118.29154,LEIGHTON AVE at VERMONT AVE,Location: LEIGHTON AVE at VERMONT AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=57
-13170088.9687455,4030521.53858158,58,5079,34.0128,-118.30891,LEIGHTON AVE at WESTERN AVE,Location: LEIGHTON AVE at WESTERN AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=58
-13172091.6066257,4029049.75112851,59,5162,34.00184,-118.3269,46TH ST at 9TH AVE,Location: 46TH ST at 9TH AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=59
-13171329.0682215,4032236.62523735,60,5222,34.02557,-118.32005,3RD AVE at JEFFERSON BLVD,Location: 3RD AVE at JEFFERSON BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=60
-13173004.2843936,4032030.52842303,61,5226,34.02403557,-118.33509872,36TH ST AT CRENSHAW BLVD,Location: 36TH ST AT CRENSHAW BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=61
-13171240.012323,4028136.69394335,62,5276,33.99504,-118.31925,2ND AVE at 52ND ST,Location: 2ND AVE at 52ND ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=62
-13173607.4357343,4031958.71651408,63,5295,34.02350091,-118.34051692,EXPOSITION BOULEVARD N/R AT BUCKINGHAM ROAD,Location: EXPOSITION BOULEVARD N/R AT BUCKINGHAM ROAD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=63
-13173803.4569758,4030427.65646069,64,5303,34.01210093,-118.34227781,BUCKINGHAM ROAD AT SANTA ROSALIA DR,Location: BUCKINGHAM ROAD AT SANTA ROSALIA DR,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=64
-13173528.2284327,4030203.03471674,65,5336,34.01042831,-118.33980539,SANTA ROSALIA DR AT MARLTON AVE,Location: SANTA ROSALIA DR AT MARLTON AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=65
-13173256.7112513,4029758.47072937,66,5337,34.00711782,-118.33736631,STOCKER ST AT ANGELES VISTA BLVD,Location: STOCKER ST AT ANGELES VISTA BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=66
-13162327.8204943,4032227.47080055,67,5375,34.02550184,-118.23919043,14TH ST AT ALAMEDA ST,Location: 14TH ST AT ALAMEDA ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=67
-13162879.9174988,4032135.88922788,68,5383,34.02482,-118.24415,15TH ST at HOOPER AVE,Location: 15TH ST at HOOPER AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=68
-13165609.6310362,4032139.5490695,69,5396,34.02484725,-118.26867143,ADAMS BLVD AT MAIN ST,Location: ADAMS BLVD AT MAIN ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=69
-13164243.5813894,4031698.0310812,70,5420,34.02156,-118.2564,24TH ST at GRIFFITH AVE,Location: 24TH ST at GRIFFITH AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=70
-13165935.7826679,4031522.87903161,71,5452,34.0202559,-118.2716013,32ND ST at MAIN ST,Location: 32ND ST at MAIN ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=71
-13164558.6155811,4031100.36863462,72,5470,34.01711,-118.25923,29TH ST at GRIFFITH AVE,Location: 29TH ST at GRIFFITH AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=72
-13166542.5163064,4030987.23253181,73,5482,34.0162676,-118.27705168,37TH ST AT HILL ST,Location: 37TH ST AT HILL ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=73
-13165228.9427436,4030867.06580257,74,5503,34.01537284,-118.26525165,JEFFERSON BLVD at AVALON BLVD,Location: JEFFERSON BLVD at AVALON BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=74
-13166769.4210557,4030561.82764096,75,5522,34.0131,-118.27909,39TH ST at HILL ST,Location: 39TH ST at HILL ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=75
-13167174.623976,4030099.85768401,76,5554,34.00966,-118.28273,41ST ST at FIGUEROA ST,Location: 41ST ST at FIGUEROA ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=76
-13163767.1336909,4028951.72870844,77,5670,34.00111,-118.25212,47TH ST at HOOPER AVE,Location: 47TH ST at HOOPER AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=77
-13167169.0579544,4028575.75819995,78,5720,33.99831,-118.28268,49TH ST at FIGUEROA ST,Location: 49TH ST at FIGUEROA ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=78
-13166540.102932,4032368.25597908,79,5725,34.02655,-118.27703,28TH ST at FIGUEROA ST,Location: 28TH ST at FIGUEROA ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=79
-13166402.0667191,4032293.03836974,80,5729,34.02599,-118.27579,28TH ST at FLOWER ST,Location: 28TH ST at FLOWER ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=80
-13165848.8678109,4032269.78291794,81,5730,34.02581686,-118.27082053,ADAMS BLVD AT HILL ST,Location: ADAMS BLVD AT HILL ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=81
-13166010.4525504,4032357.74708685,82,5731,34.02647176,-118.27227207,GRAND AVE AT ADAMS BLVD,Location: GRAND AVE AT ADAMS BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=82
-13165729.9083826,4032205.02103706,83,5736,34.0253347,-118.2697519,BROADWAY AT ADAMS BLVD,Location: BROADWAY AT ADAMS BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=83
-13165976.8261517,4032036.49640683,84,5753,34.02408,-118.27197,28TH ST at HILL ST,Location: 28TH ST at HILL ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=84
-13166755.3681786,4031959.57928195,85,5758,34.02350733,-118.27896376,FIGUEROA ST AT 32ND ST,Location: FIGUEROA ST AT 32ND ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=85
-13166229.9978999,4031941.35706962,86,5759,34.02337166,-118.27424428,GRAND AVE AT 30TH ST,Location: GRAND AVE AT 30TH ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=86
-13166651.3757162,4031816.82980964,87,5767,34.02244451,-118.27802958,FLOWER ST at 33RD ST,Location: FLOWER ST at 33RD ST\nData not available yet,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=87
-13166726.1367247,4031672.69216087,88,5771,34.02137134,-118.27870117,FLOWER ST AT JEFFERSON BLVD,Location: FLOWER ST AT JEFFERSON BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=88
-13166868.4954864,4031746.38251109,89,5772,34.02192,-118.27998,FIGUEROA ST AT JEFFERSON BLVD,Location: FIGUEROA ST AT JEFFERSON BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=89
-13166594.6493907,4031601.32841795,90,5784,34.02084,-118.27752,HOPE ST at JEFFERSON BLVD,Location: HOPE ST at JEFFERSON BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=90
-13166988.7204754,4031195.7237827,91,5794,34.01782,-118.28106,37TH ST AT FLOWER ST,Location: 37TH ST AT FLOWER ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=91
-13167171.2843711,4029307.56904088,92,5970,34.00376,-118.2827,FIGUEROA ST AT VERNON AVE,Location: FIGUEROA ST AT VERNON AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=92
-13167172.3975498,4029530.4785209,93,5975,34.00542,-118.28271,43RD ST at FIGUEROA ST,Location: 43RD ST at FIGUEROA ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=93
-13167174.6240614,4030298.60978758,94,5997,34.01114,-118.28273,"FIGUEROA ST AT MARTIN LUTHER KING, JR BLVD","Location: FIGUEROA ST AT MARTIN LUTHER KING, JR BLVD",http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=94
-13167176.8503911,4030689.40971542,95,5998,34.01405,-118.28275,39TH ST AT FIGUEROA ST,Location: 39TH ST AT FIGUEROA ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=95
-13167176.8504972,4030906.97433905,96,5999,34.01567,-118.28275,38TH ST at FIGUEROA ST,Location: 38TH ST at FIGUEROA ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=96
-13165951.7058493,4031492.82911708,97,6030,34.02003216,-118.27174434,MAIN ST at 32ND ST,Location: MAIN ST at 32ND ST\nData not available yet,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=97
-13166799.6031376,4031094.41479318,98,6036,34.01706567,-118.27936113,HOPE ST AT 37TH ST,Location: HOPE ST AT 37TH ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=98
-13167115.6246735,4031277.64932503,99,6038,34.01843,-118.2822,EXPOSITION BOULEVARD N/R AT FIGUEROA ST,Location: EXPOSITION BOULEVARD N/R AT FIGUEROA ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=99
-13163392.6161184,4032353.73923796,100,6052,34.02644192,-118.24875565,CENTRAL AVE AT 16TH ST,Location: CENTRAL AVE AT 16TH ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=100
-13162757.4660566,4032360.19722013,101,6066,34.02649,-118.24305,14TH ST at HOOPER AVE,Location: 14TH ST at HOOPER AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=101
-13159720.7888293,4032361.30685988,102,6076,34.02649826,-118.21577107,ORME AVE AT 8TH ST,Location: ORME AVE AT 8TH ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=102
-13160150.9263051,4032332.71472539,103,6079,34.02628539,-118.21963506,SOTO ST at SHORT ST,Location: SOTO ST at SHORT ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=103
-13159617.0602135,4032305.70496258,104,6082,34.0260843,-118.21483926,MARIETTA ST AT 8TH ST,Location: MARIETTA ST AT 8TH ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=104
-13159516.5943387,4032251.81039296,105,6090,34.02568305,-118.21393676,8TH ST AT CAMULOS ST,Location: 8TH ST AT CAMULOS ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=105
-13159313.2403238,4032142.60516459,106,6092,34.02487,-118.21211,8TH ST at EVERGREEN AVE,Location: 8TH ST at EVERGREEN AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=106
-13158905.810969,4032190.95872535,107,6093,34.02523,-118.20845,FRESNO ST at GARNET ST,Location: FRESNO ST at GARNET ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=107
-13160308.1529449,4032133.38983378,108,6095,34.02480139,-118.22104745,BOYLE AVE AT OLYMPIC BLVD,Location: BOYLE AVE AT OLYMPIC BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=108
-13159213.5137134,4032088.83906093,109,6099,34.0244697,-118.21121414,8TH ST AT EUCLID AVE,Location: 8TH ST AT EUCLID AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=109
-13160174.0217966,4032063.52746425,110,6100,34.02428125,-118.21984253,SOTO ST AT OLYMPIC BLVD,Location: SOTO ST AT OLYMPIC BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=110
-13159937.9999667,4031940.58647919,111,6111,34.02336592,-118.21772231,ORME AVE AT OLYMPIC BLVD,Location: ORME AVE AT OLYMPIC BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=111
-13158913.2281053,4031926.60868935,112,6112,34.02326185,-118.20851663,GRANDE VISTA AVE AT 8TH ST,Location: GRANDE VISTA AVE AT 8TH ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=112
-13159704.349232,4031818.87591248,113,6121,34.02245974,-118.21562339,CAMULOS ST AT OLYMPIC BLVD,Location: CAMULOS ST AT OLYMPIC BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=113
-13159528.211666,4031725.71266613,114,6131,34.0217661,-118.21404112,OLYMPIC BLVD AT EVERGREEN AVE,Location: OLYMPIC BLVD AT EVERGREEN AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=114
-13158502.8698919,4031698.48814311,115,6135,34.0215634,-118.20483032,8TH ST AT LORENA ST,Location: 8TH ST AT LORENA ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=115
-13159329.2313748,4031616.27739423,116,6143,34.0209513,-118.21225365,DACOTAH ST AT OLYMPIC BLVD,Location: DACOTAH ST AT OLYMPIC BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=116
-13159131.4021183,4031507.48257648,117,6154,34.02014126,-118.21047652,GRANDE VISTA AVE AT OLYMPIC BLVD,Location: GRANDE VISTA AVE AT OLYMPIC BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=117
